date,account_value,reward,daily_volatility,trade_count,fear_greed,fear_greed_norm,fear_greed_mapped,window
2021-03-05,"1,000,000.00",0,0,0,-1,-1,0,1
2021-05-05,"1,021,430.59",2.14305853843689,26117.852514044,1,48,-0.04,-1,1
2021-05-06,"1,018,163.30",-0.326728790998459,25638.7861678491,2,65,0.3,1,1
2021-05-07,"1,019,271.25",0.110795646905899,26077.2151972726,2,64,0.28,1,1
2021-05-08,"1,019,264.12",-0.00071396998828277,26707.1584226489,1,67,0.34,1,1
2021-05-09,"1,043,826.51",2.45623898506165,26407.741521014,1,73,0.46,1,1
2021-05-10,"995,507.23",-4.83192777633667,25269.4375761129,0,72,0.44,1,1
2021-05-11,"1,059,864.60",6.43573713302612,25612.364565465,0,61,0.22,1,1
2021-05-12,"938,025.58",-12.1839017868042,22393.9514307239,0,68,0.36,1,1
2021-05-13,"900,887.23",-3.71383500099182,22440.9926759951,0,31,-0.38,-1,1
2021-05-14,"950,578.50",4.96912717819214,22437.7854833691,0,26,-0.48,-1,1
2021-05-15,"888,760.10",-6.18183994293213,21089.5549030673,0,27,-0.46,-1,1
2021-05-16,"890,195.17",0.14350700378418,20946.9602081087,0,20,-0.6,-2,1
2021-05-17,"807,796.92",-8.23982524871826,19662.194767894,0,27,-0.46,-1,1
2021-05-18,"801,189.29",-0.660763025283814,19319.8516318498,0,21,-0.58,-2,1
2021-05-19,"528,242.13",-27.2947158813477,16664.2567535276,0,23,-0.54,-2,1
2021-05-20,"617,137.62",8.88954925537109,18385.309035398,0,11,-0.78,-2,1
2021-05-21,"514,380.30",-10.2757320404053,16932.7575524215,0,19,-0.62,-2,1
2021-05-22,"472,984.05",-4.13962507247925,17061.8642870018,0,12,-0.76,-2,1
2021-05-23,"411,417.97",-6.15660810470581,15798.849264598,0,14,-0.72,-2,1
2021-05-24,"545,284.04",13.3866081237793,17608.1518677704,1,10,-0.8,-2,1
2021-05-25,"541,403.66",-0.388038665056229,17374.734884144,1,22,-0.56,-2,1
2021-05-26,"598,157.75",5.6754093170166,17758.946222966,0,22,-0.56,-2,1
2021-05-27,"583,188.42",-1.49693262577057,17456.61717997,0,27,-0.46,-1,1
2021-05-28,"518,752.50",-6.44359254837036,16188.2464100738,0,21,-0.58,-2,1
2021-05-29,"481,242.43",-3.75100708007813,15724.6791918881,0,18,-0.64,-2,1
2021-05-30,"513,626.02",3.23835897445679,16184.2113350643,0,10,-0.8,-2,1
2021-05-31,"557,414.05",4.37880373001099,16867.8589751779,0,18,-0.64,-2,1
2021-06-01,"571,705.11",1.42910528182983,16616.8099259381,0,20,-0.6,-2,1
2021-06-02,"633,459.49",6.17543840408325,17003.5910028624,0,23,-0.54,-2,1
2021-06-03,"675,954.08",4.24945878982544,17754.369529094,0,24,-0.52,-2,1
2021-06-04,"616,360.70",-5.95933723449707,16661.7959941838,0,27,-0.46,-1,1
2021-06-05,"615,382.73",-0.0977974906563759,16055.7873718752,0,24,-0.52,-2,1
2021-06-06,"621,140.16",0.575743317604065,16170.2523075368,0,17,-0.66,-2,1
2021-06-07,"564,717.32",-5.64228439331055,15149.0935489905,0,15,-0.7,-2,1
2021-06-08,"556,104.83",-0.861248850822449,15087.4858550809,0,13,-0.74,-2,1
2021-06-09,"592,447.64",3.63428092002869,16945.7295641986,0,14,-0.72,-2,1
2021-06-10,"555,221.50",-3.72261428833008,16646.2024486327,0,21,-0.58,-2,1
2021-06-11,"545,457.52",-0.976397514343262,16981.9273319262,0,21,-0.58,-2,1
2021-06-12,"542,223.89",-0.323362678289413,16138.0287093237,0,28,-0.44,-1,1
2021-06-13,"577,083.97",3.48600745201111,17738.3971809788,0,23,-0.54,-2,1
2021-06-14,"584,008.66",0.692469358444214,18426.1278467314,0,28,-0.44,-1,1
2021-06-15,"578,156.59",-0.585207581520081,18259.8267913387,0,38,-0.24,-1,1
2021-06-16,"547,776.27",-3.03803181648254,17457.4407787988,0,33,-0.34,-1,1
2021-06-17,"556,656.91",0.888064324855804,17334.2789764334,0,26,-0.48,-1,1
2021-06-18,"531,907.84",-2.47490739822388,16297.9941726643,0,25,-0.5,-1,1
2021-06-19,"526,939.09",-0.496874362230301,16155.5374821081,0,23,-0.54,-2,1
2021-06-20,"534,936.40",0.799731075763702,16192.0393053521,0,21,-0.58,-2,1
2021-06-21,"427,169.88",-10.7766523361206,14407.4484492316,0,23,-0.54,-2,1
2021-06-22,"413,509.78",-1.36601006984711,14835.1234892902,0,10,-0.8,-2,1
2021-06-23,"467,377.27",5.38674879074097,15357.4476441649,0,14,-0.72,-2,1
2021-06-24,"486,889.44",1.95121765136719,15813.556808201,0,22,-0.56,-2,1
2021-06-25,"443,022.54",-4.38669061660767,14410.0305871624,0,27,-0.46,-1,1
2021-06-26,"441,192.78",-0.182975947856903,14735.0874147398,0,20,-0.6,-2,1
2021-06-27,"458,890.97",1.76981914043427,15837.1712668947,0,22,-0.56,-2,1
2021-06-28,"457,518.65",-0.137231960892677,15718.473282488,0,25,-0.5,-1,1
2021-06-29,"474,538.57",1.70199179649353,16365.3939425552,0,25,-0.5,-1,1
2021-06-30,"479,144.51",0.46059462428093,15932.7553235723,0,28,-0.44,-1,1
2021-07-01,"453,464.78",-2.56797289848328,15248.1220596228,0,28,-0.44,-1,1
2021-07-02,"453,054.67",-0.0410118512809277,15370.6213099406,0,21,-0.58,-2,1
2021-05-03,"1,000,000.00",0,0,0,-1,-1,0,2
2021-07-03,"1,038,051.80",3.80517959594727,15767.6835108296,1,24,-0.52,-2,2
2021-07-04,"1,071,086.49",3.30346894264221,16035.3660587029,0,27,-0.46,-1,2
2021-07-05,"1,051,592.89",-1.94936001300812,15312.316016515,0,29,-0.42,-1,2
2021-07-06,"1,113,902.79",6.23098993301392,15530.1769785459,0,20,-0.6,-2,2
2021-07-07,"1,140,323.58",2.64207911491394,15361.0190357071,0,28,-0.44,-1,2
2021-07-08,"1,079,858.61",-6.04649686813355,14944.0368253078,0,20,-0.6,-2,2
2021-07-09,"1,104,051.56",2.41929507255554,15378.292550218,0,20,-0.6,-2,2
2021-07-10,"1,100,674.99",-0.337657004594803,15239.0209010356,0,20,-0.6,-2,2
2021-07-11,"1,121,700.23",2.10252404212952,15587.0858965028,0,20,-0.6,-2,2
2021-07-12,"1,100,674.99",-2.10252404212952,15060.1212152942,0,25,-0.5,-1,2
2021-07-13,"1,075,681.41",-2.49935793876648,14913.7213617282,0,20,-0.6,-2,2
2021-07-14,"1,077,282.67",0.160126000642777,14944.2965546146,0,21,-0.58,-2,2
2021-07-15,"1,100,640.18",2.33575105667114,14516.2016937865,0,20,-0.6,-2,2
2021-07-16,"1,054,586.55",-4.60536289215088,14295.3081343985,0,22,-0.56,-2,2
2021-07-17,"1,046,371.39",-0.82151597738266,14354.9842776252,0,15,-0.7,-2,2
2021-07-18,"1,051,871.37",0.549997985363007,14478.03761499,0,19,-0.62,-2,2
2021-07-19,"976,821.01",-7.50503587722778,14057.1809648806,0,24,-0.52,-2,2
2021-07-20,"920,776.91",-5.60441017150879,13574.2261335329,0,19,-0.62,-2,2
2021-07-21,"1,021,099.33",10.0322418212891,14630.1156354517,0,10,-0.8,-2,2
2021-07-22,"1,021,447.43",0.0348099991679192,14691.3000525776,0,21,-0.58,-2,2
2021-07-23,"1,042,020.14",2.05727100372314,15302.1813741208,0,23,-0.54,-2,2
2021-07-24,"1,049,991.63",0.797149002552033,15582.3906166352,0,22,-0.56,-2,2
2021-07-25,"1,053,472.63",0.348100006580353,16109.754608647,0,27,-0.46,-1,2
2021-07-26,"1,058,485.27",0.501263976097107,16975.3395758435,0,26,-0.48,-1,2
2021-07-27,"1,091,485.15",3.29998803138733,18003.0019361482,0,32,-0.36,-1,2
2021-07-28,"1,092,599.07",0.111391998827457,18267.1327671166,0,50,0,1,2
2021-07-29,"1,103,842.70",1.12436294555664,18247.0669486852,0,50,0,1,2
2021-07-30,"1,123,162.25",1.93195497989655,19259.7975625412,0,53,0.06,1,2
2021-07-31,"1,157,276.05",3.41138005256653,18891.7131700054,0,60,0.2,1,2
2021-08-01,"1,158,007.06",0.0731009989976883,18125.2829672777,0,60,0.2,1,2
2021-08-02,"1,150,905.82",-0.710124015808106,17786.3836751269,0,48,-0.04,-1,2
2021-08-03,"1,126,121.10",-2.47847199440002,17366.2938966282,0,48,-0.04,-1,2
2021-08-04,"1,165,595.64",3.94745397567749,18030.962853098,0,42,-0.16,-1,2
2021-08-05,"1,176,525.98",1.09303402900696,18544.6357924447,0,50,0,1,2
2021-08-06,"1,192,120.86",1.55948805809021,19459.0892595797,0,52,0.04,1,2
2021-08-07,"1,240,123.85",4.80029916763306,20215.2924245192,0,69,0.38,1,2
2021-08-08,"1,190,032.26",-5.00915908813477,19884.3038785493,0,74,0.48,1,2
2021-08-09,"1,233,649.19",4.36169290542603,21006.8682154216,0,65,0.3,1,2
2021-08-10,"1,294,914.79",6.12656021118164,20691.7305542883,0,71,0.42,1,2
2021-08-11,"1,361,193.03",6.62782382965088,20647.9840599598,0,70,0.4,1,2
2021-08-12,"1,342,743.73",-1.84493005275726,20150.3383243921,0,70,0.4,1,2
2021-08-13,"1,430,116.83",8.7373104095459,21685.8409198096,0,70,0.4,1,2
2021-08-14,"1,422,841.54",-0.727528989315033,21354.6702427991,0,76,0.52,2,2
2021-08-15,"1,441,569.32",1.87277805805206,21299.3614191897,0,71,0.42,1,2
2021-08-16,"1,447,382.59",0.581327021121979,20828.3031371006,0,72,0.44,1,2
2021-08-17,"1,398,927.07",-4.84555196762085,20293.2896334445,0,72,0.44,1,2
2021-08-18,"1,379,259.42",-1.96676504611969,20298.5322617923,0,73,0.46,1,2
2021-08-19,"1,501,512.14",12.2252721786499,21220.792232554,0,70,0.4,1,2
2021-08-20,"1,583,872.60",8.23604583740234,22399.1814349101,0,70,0.4,1,2
2021-08-21,"1,562,325.21",-2.15473890304565,22178.2584754294,0,78,0.56,2,2
2021-08-22,"1,562,116.35",-0.0208860002458096,22371.6321886108,0,76,0.52,2,2
2021-08-23,"1,737,489.13",17.5372772216797,22458.3787128234,0,79,0.58,2,2
2021-08-24,"1,641,970.49",-9.55186367034912,21643.3257461977,0,79,0.58,2,2
2021-08-25,"1,751,865.66",10.9895172119141,22234.8815616909,0,73,0.46,1,2
2021-08-26,"1,664,527.37",-8.7338285446167,21267.4621093449,0,75,0.5,2,2
2021-08-27,"1,721,615.77",5.70883989334106,22272.5712751631,0,71,0.42,1,2
2021-08-28,"1,692,723.47",-2.88923001289368,22198.7383125903,0,78,0.56,2,2
2021-08-29,"1,670,096.97",-2.26265001296997,22144.8777636911,0,72,0.44,1,2
2021-08-30,"1,602,565.57",-6.75313997268677,21308.2433734005,0,73,0.46,1,2
2021-07-03,"1,000,000.00",0,0,0,-1,-1,0,3
2021-09-02,"989,199.12",-1.08008801937103,22249.6303814753,1,74,0.48,1,3
2021-09-03,"1,028,946.81",3.974769115448,22570.4373192078,0,74,0.48,1,3
2021-09-04,"1,015,220.82",-1.37259900569916,22539.797064576,0,72,0.44,1,3
2021-09-05,"1,032,125.79",1.6904970407486,23390.6846441403,0,73,0.46,1,3
2021-09-06,"1,025,987.07",-0.613871991634369,23824.7226732741,0,79,0.58,2,3
2021-09-07,"897,522.87",-12.8464202880859,21219.2999723873,0,79,0.58,2,3
2021-09-08,"914,339.10",1.68162298202515,20822.9409253678,0,47,-0.06,-1,3
2021-09-09,"895,006.83",-1.93322694301605,21000.1447216352,0,45,-0.1,-1,3
2021-09-10,"838,612.56",-5.63942718505859,20324.3179442597,0,46,-0.08,-1,3
2021-09-11,"853,841.91",1.52293503284454,20462.8970204628,0,31,-0.38,-1,3
2021-09-12,"889,598.91",3.57570004463196,20831.7471725585,0,32,-0.36,-1,3
2021-09-13,"858,576.45",-3.10224604606628,20350.9702882628,0,44,-0.12,-1,3
2021-09-14,"897,470.67",3.88942193984985,21337.0950086041,0,30,-0.4,-1,3
2021-09-15,"944,236.65",4.676598072052,21770.06841375,0,49,-0.02,-1,3
2021-09-16,"932,342.88",-1.18937695026398,21600.9944842012,0,53,0.06,1,3
2021-09-17,"888,450.51",-4.38923692703247,21435.1044368225,0,48,-0.04,-1,3
2021-09-18,"897,802.14",0.935163021087647,21893.6810695466,0,50,0,1,3
2021-09-19,"869,869.92",-2.79322195053101,21422.2974235305,0,53,0.06,1,3
2021-09-20,"778,170.18",-9.1699743270874,19519.3622902958,0,50,0,1,3
2021-09-21,"723,000.00",-5.51701784133911,18495.7040662624,0,27,-0.46,-1,3
2021-09-22,"804,176.22",8.11762237548828,19742.8336599908,0,21,-0.58,-2,3
2021-09-23,"823,902.60",1.9726380109787,20347.6689369656,0,27,-0.46,-1,3
2021-09-24,"765,446.43",-5.84561681747437,19435.5790447639,0,33,-0.34,-1,3
2021-09-25,"763,671.63",-0.17747999727726,19372.5525353286,0,28,-0.44,-1,3
2021-09-26,"799,595.67",3.59240388870239,19575.4746449843,0,27,-0.46,-1,3
2021-09-27,"764,679.09",-3.49165797233582,19129.0524366827,0,26,-0.48,-1,3
2021-09-28,"733,181.61",-3.14974808692932,18627.839191909,0,25,-0.5,-1,3
2021-09-29,"745,067.55",1.18859398365021,18843.4876806221,0,24,-0.52,-2,3
2021-09-30,"784,259.31",3.91917610168457,19888.9246098096,0,20,-0.6,-2,3
2021-10-01,"864,986.61",8.07273006439209,21846.517992654,0,27,-0.46,-1,3
2021-10-02,"885,305.46",2.03188490867615,21589.9958485282,0,54,0.08,1,3
2021-10-03,"893,127.63",0.782217025756836,21848.7279841067,0,49,-0.02,-1,3
2021-10-04,"884,927.01",-0.820061981678009,22338.9269744458,0,54,0.08,1,3
2021-10-05,"918,585.57",3.36585593223572,23365.0761237541,0,59,0.18,1,3
2021-10-06,"934,146.39",1.55608201026917,25163.2975581991,0,68,0.36,1,3
2021-10-07,"937,429.77",0.328337997198105,24439.5004765323,0,76,0.52,2,3
2021-10-08,"931,077.03",-0.635273993015289,24527.9086428043,0,74,0.48,1,3
2021-10-09,"934,128.12",0.305108994245529,24994.6758963869,0,72,0.44,1,3
2021-10-10,"892,211.52",-4.19165992736816,24896.8594040667,0,71,0.42,1,3
2021-10-11,"925,593.42",3.33819007873535,26191.1700718981,0,71,0.42,1,3
2021-10-12,"912,371.16",-1.32222604751587,25499.9258907015,0,78,0.56,2,3
2021-10-13,"942,636.72",3.02655601501465,26113.2329187943,0,70,0.4,1,3
2021-10-14,"990,504.12",4.78673982620239,26064.3817158939,0,70,0.4,1,3
2021-10-15,"1,010,906.49",2.04023694992065,28083.0998891413,0,71,0.42,1,3
2021-10-16,"1,000,719.66",-1.01868295669556,27718.5447434076,0,78,0.56,2,3
2021-10-17,"1,005,127.95",0.440829008817673,28020.9444118697,0,79,0.58,2,3
2021-10-18,"978,534.66",-2.65932893753052,28266.0819016196,0,78,0.56,2,3
2021-10-19,"1,013,004.93",3.44702696800232,29305.9658083064,0,75,0.5,2,3
2021-10-20,"1,087,160.25",7.41553211212158,30051.5791208349,0,82,0.64,2,3
2021-10-21,"1,058,930.49",-2.82297611236572,28289.6638341761,0,84,0.68,2,3
2021-10-22,"1,037,844.30",-2.10861897468567,27596.3389734073,0,75,0.5,2,3
2021-10-23,"1,088,718.42",5.08741188049316,27834.8272228312,0,74,0.48,1,3
2021-10-24,"1,066,588.23",-2.21301889419556,27650.8781481397,0,73,0.46,1,3
2021-10-25,"1,102,616.67",3.60284399986267,28667.1190771343,0,72,0.44,1,3
2021-10-26,"1,079,426.82",-2.31898498535156,27393.4103360332,0,76,0.52,2,3
2021-10-27,"1,024,742.10",-5.46847200393677,26544.0764043321,0,73,0.46,1,3
2021-10-28,"1,119,751.32",9.50092220306397,27473.2812939558,0,66,0.32,1,3
2021-10-29,"1,154,430.39",3.4679069519043,28224.8253191103,0,70,0.4,1,3
2021-10-30,"1,129,319.58",-2.5110809803009,28060.1048757773,0,73,0.46,1,3
2021-10-31,"1,120,061.91",-0.925767004489899,27805.3104191751,0,74,0.48,1,3
2021-09-02,"1,000,000.00",0,0,0,-1,-1,0,4
2021-11-02,"1,005,520.35",0.552034914493561,28637.0971053636,1,73,0.46,1,4
2021-11-03,"1,030,902.35",2.53819990158081,28478.3726579112,0,76,0.52,2,4
2021-11-04,"1,013,316.25",-1.75861001014709,27789.310063717,0,73,0.46,1,4
2021-11-05,"1,101,428.05",8.81118011474609,27573.5324462717,0,73,0.46,1,4
2021-11-06,"1,156,543.25",5.51151990890503,27807.4719234681,0,71,0.42,1,4
2021-11-07,"1,178,117.95",2.15746998786926,28632.8916036168,0,73,0.46,1,4
2021-11-08,"1,185,188.65",0.707069993019104,30591.7507622957,0,75,0.5,2,4
2021-11-09,"1,151,648.15",-3.35404992103577,30340.4831800927,0,84,0.68,2,4
2021-11-10,"1,113,756.45",-3.78917002677918,29395.8391515492,0,75,0.5,2,4
2021-11-11,"1,139,682.35",2.59259009361267,29322.0785551836,0,77,0.54,2,4
2021-11-12,"1,136,962.85",-0.271950006484985,29026.9499249604,0,74,0.48,1,4
2021-11-13,"1,177,936.65",4.0973801612854,29146.9288289079,0,72,0.44,1,4
2021-11-14,"1,180,293.55",0.235689997673035,29686.5313084346,0,74,0.48,1,4
2021-11-15,"1,149,472.55",-3.08209991455078,28804.1413700754,0,72,0.44,1,4
2021-11-16,"1,067,706.25",-8.1766300201416,27221.1851385901,0,71,0.42,1,4
2021-11-17,"1,048,307.15",-1.93991005420685,27341.9426738518,0,52,0.04,1,4
2021-11-18,"964,546.55",-8.37605953216553,25790.3677805856,0,54,0.08,1,4
2021-11-19,"1,053,746.15",8.91996002197266,26260.6636465722,0,34,-0.32,-1,4
2021-11-20,"1,095,989.05",4.224289894104,27008.7720975501,0,43,-0.14,-1,4
2021-11-21,"1,059,185.15",-3.68038988113403,26535.7730965004,0,49,-0.02,-1,4
2021-11-22,"1,014,404.05",-4.47810983657837,25461.0142262143,0,50,0,1,4
2021-11-23,"1,072,057.45",5.76533985137939,26008.1325553147,0,33,-0.34,-1,4
2021-11-24,"1,070,607.05",-0.14504000544548,25833.5148700473,0,42,-0.16,-1,4
2021-11-25,"1,159,081.45",8.84743976593018,26624.3271589687,0,32,-0.36,-1,4
2021-11-26,"1,065,168.05",-9.39134025573731,24276.9648647799,0,47,-0.06,-1,4
2021-11-27,"1,088,011.85",2.28437995910645,24730.2783699043,0,21,-0.58,-2,4
2021-11-28,"1,108,680.05",2.06681990623474,25886.9772479798,0,27,-0.46,-1,4
2021-11-29,"1,130,617.35",2.1937301158905,26088.1447229235,0,33,-0.34,-1,4
2021-11-30,"1,128,985.65",-0.163169994950295,25660.8787319686,0,40,-0.2,-1,4
2021-12-01,"1,138,050.65",0.906499981880188,25779.3393159927,0,34,-0.32,-1,4
2021-12-02,"1,124,271.85",-1.37787997722626,25465.2737914609,0,32,-0.36,-1,4
2021-12-03,"1,079,128.15",-4.51436996459961,24179.1022116156,0,31,-0.38,-1,4
2021-12-04,"1,031,264.95",-4.78632020950317,22113.7372625348,0,25,-0.5,-1,4
2021-12-05,"1,011,684.55",-1.95803999900818,22214.7892920775,0,18,-0.64,-2,4
2021-12-06,"1,065,530.65",5.38461017608643,22667.3743234961,0,16,-0.68,-2,4
2021-12-07,"1,049,576.25",-1.59544003009796,22747.393713603,0,25,-0.5,-1,4
2021-12-08,"1,101,246.75",5.16704988479614,22657.4469301243,0,28,-0.44,-1,4
2021-12-09,"1,034,165.75",-6.70809984207153,21359.9205617754,0,29,-0.42,-1,4
2021-12-10,"1,001,894.35",-3.22713994979858,21217.3144214059,0,24,-0.52,-2,4
2021-12-11,"1,023,831.65",2.1937301158905,22232.3571865708,0,16,-0.68,-2,4
2021-12-12,"1,034,347.05",1.05154001712799,22534.6713711708,0,27,-0.46,-1,4
2021-12-13,"944,966.15",-8.93809032440186,21043.8285674864,0,28,-0.44,-1,4
2021-12-14,"957,838.45",1.28723001480103,21797.6510544615,0,21,-0.58,-2,4
2021-12-15,"981,407.45",2.35689997673035,22006.1821363018,0,28,-0.44,-1,4
2021-12-16,"954,393.75",-2.70137000083923,21442.9788054878,0,29,-0.42,-1,4
2021-12-17,"953,124.65",-0.126910001039505,20754.2573407771,0,23,-0.54,-2,4
2021-12-18,"968,353.85",1.52292001247406,21065.2647940733,0,24,-0.52,-2,4
2021-12-19,"960,920.55",-0.743330001831055,21001.7056988464,0,29,-0.42,-1,4
2021-12-20,"950,405.15",-1.05154001712799,21108.5034289328,0,25,-0.5,-1,4
2021-12-21,"958,201.05",0.779590010643005,22022.2733546234,0,27,-0.46,-1,4
2021-12-22,"967,809.95",0.960889995098114,21886.1871389854,0,45,-0.1,-1,4
2021-12-23,"995,730.15",2.79202008247376,22913.3771350668,0,34,-0.32,-1,4
2021-12-24,"983,220.45",-1.25097000598907,22919.9584675967,0,41,-0.18,-1,4
2021-12-25,"992,829.35",0.960889995098114,22710.666529779,0,39,-0.22,-1,4
2021-12-26,"991,016.35",-0.18129999935627,22894.289198203,0,37,-0.26,-1,4
2021-12-27,"1,022,381.25",3.13649010658264,22860.4629045496,0,40,-0.2,-1,4
2021-12-28,"968,897.75",-5.34835004806519,21433.7846637141,0,41,-0.18,-1,4
2021-12-29,"933,181.65",-3.57160997390747,20965.3591229347,0,27,-0.46,-1,4
2021-12-30,"940,433.65",0.725199997425079,21256.4471719623,0,22,-0.56,-2,4
2021-11-03,"1,000,000.00",0,0,0,-1,-1,0,5
2022-01-03,"973,409.64",-2.65903639793396,20928.8198589733,3,29,-0.42,-1,5
2022-01-04,"962,930.38",-1.04792535305023,20637.22111172,1,23,-0.54,-2,5
2022-01-05,"906,538.25",-5.63921308517456,19576.8477887978,1,24,-0.52,-2,5
2022-01-06,"900,012.68",-0.652557194232941,19431.7674465128,1,15,-0.7,-2,5
2022-01-07,"860,197.65",-3.98150277137756,18768.5761324069,1,18,-0.64,-2,5
2022-01-08,"843,408.88",-1.67887675762177,18851.5957343793,0,10,-0.8,-2,5
2022-01-09,"854,075.03",1.066614985466,18921.292978963,0,23,-0.54,-2,5
2022-01-10,"840,106.79",-1.39682412147522,18919.7567326403,0,23,-0.54,-2,5
2022-01-11,"886,425.58",4.63187837600708,19303.1993094277,0,21,-0.58,-2,5
2022-01-12,"921,705.57",3.52799963951111,19821.3095103651,0,22,-0.56,-2,5
2022-01-13,"895,336.65",-2.63689255714417,19220.3891232034,0,21,-0.58,-2,5
2022-01-14,"914,585.36",1.92487192153931,19437.6604282328,0,21,-0.58,-2,5
2022-01-15,"919,142.87",0.455750435590744,19444.0115719131,0,23,-0.54,-2,5
2022-01-16,"922,989.91",0.38470458984375,19432.6079989577,0,21,-0.58,-2,5
2022-01-17,"891,411.41",-3.15785098075867,19058.2254537095,0,22,-0.56,-2,5
2022-01-18,"888,898.24",-0.251316696405411,19140.5807959999,0,24,-0.52,-2,5
2022-01-19,"872,467.64",-1.64305973052979,18833.382847565,0,24,-0.52,-2,5
2022-01-20,"841,952.34",-3.05153059959412,18395.6949724277,0,24,-0.52,-2,5
2022-01-21,"743,416.74",-9.85355949401856,16508.77951245,0,19,-0.62,-2,5
2022-01-22,"704,584.34",-3.88324022293091,15901.9393665832,0,13,-0.74,-2,5
2022-01-23,"741,088.60",3.65042614936829,16420.4958113877,0,11,-0.78,-2,5
2022-01-24,"732,643.41",-0.84451961517334,16640.8222288383,0,13,-0.74,-2,5
2022-01-25,"748,440.16",1.57967519760132,16773.3770122027,0,12,-0.76,-2,5
2022-01-26,"737,864.15",-1.05760049819946,16704.9057576649,0,23,-0.54,-2,5
2022-01-27,"754,460.92",1.65967690944672,16874.5879396111,0,20,-0.6,-2,5
2022-01-28,"757,700.87",0.323995381593704,17111.6567868826,0,24,-0.52,-2,5
2022-01-29,"765,929.38",0.822850823402405,17310.6724821443,0,24,-0.52,-2,5
2022-01-30,"752,031.65",-1.389772772789,17179.5239129171,0,29,-0.42,-1,5
2022-01-31,"756,172.64",0.414099007844925,17437.5075185367,0,20,-0.6,-2,5
2022-02-01,"768,593.38",1.24207353591919,17520.7782592954,0,26,-0.48,-1,5
2022-02-02,"733,640.62",-3.49527597427368,16701.5249525991,0,28,-0.44,-1,5
2022-02-03,"742,887.07",0.924645125865936,16892.4293907202,0,20,-0.6,-2,5
2022-02-04,"813,647.25",7.07601737976074,18828.040282899,0,20,-0.6,-2,5
2022-02-05,"824,892.30",1.12450504302979,18730.4172835352,0,33,-0.34,-1,5
2022-02-06,"841,002.66",1.61103582382202,19189.6718182331,0,37,-0.26,-1,5
2022-02-07,"868,945.91",2.79432535171509,19854.9047382404,0,45,-0.1,-1,5
2022-02-08,"847,252.88",-2.16930317878723,19961.9914477995,0,48,-0.04,-1,5
2022-02-09,"865,739.20",1.84863173961639,20086.2625498745,0,54,0.08,1,5
2022-02-10,"847,592.23",-1.81469619274139,19711.8940217835,0,50,0,1,5
2022-02-11,"821,356.70",-2.62355399131775,19218.5800553082,0,50,0,1,5
2022-02-12,"822,990.34",0.163364753127098,19146.1351601349,0,44,-0.12,-1,5
2022-02-13,"815,617.77",-0.73725700378418,19080.501580326,0,44,-0.12,-1,5
2022-02-14,"826,107.97",1.04902005195618,19293.5903504253,0,46,-0.08,-1,5
2022-02-15,"875,471.34",4.93633699417114,20177.6505490098,0,46,-0.08,-1,5
2022-02-16,"863,427.62",-1.20437228679657,19876.0205176858,0,51,0.02,1,5
2022-02-17,"804,575.70",-5.88519239425659,18350.9820555855,0,52,0.04,1,5
2022-02-18,"795,004.58",-0.957111895084381,18120.9835498874,0,30,-0.4,-1,5
2022-02-19,"796,425.45",0.142086789011955,18173.5143710639,0,25,-0.5,-1,5
2022-02-20,"760,411.23",-3.60142135620117,17412.0966275562,0,27,-0.46,-1,5
2022-02-21,"724,113.55",-3.62976861000061,16780.7776010715,0,25,-0.5,-1,5
2022-02-22,"753,249.79",2.91362476348877,17336.9588825036,0,20,-0.6,-2,5
2022-02-23,"734,879.40",-1.83703899383545,16889.8118081424,0,25,-0.5,-1,5
2022-02-24,"741,814.73",0.693532526493073,17394.501736469,0,23,-0.54,-2,5
2022-02-25,"765,231.63",2.34169030189514,17774.0460279445,0,27,-0.46,-1,5
2022-02-26,"763,140.76",-0.209087550640106,17723.8228431422,0,26,-0.48,-1,5
2022-02-27,"734,755.30",-2.83854532241821,17094.6960598745,0,26,-0.48,-1,5
2022-02-28,"825,128.84",9.037353515625,19591.2464718444,0,20,-0.6,-2,5
2022-03-01,"850,312.90",2.51840543746948,20169.7521865011,0,51,0.02,1,5
2022-03-02,"845,259.28",-0.505361199378967,19927.1467016028,0,52,0.04,1,5
2022-01-03,"1,000,000.00",0,0,0,-1,-1,0,6
2022-03-05,"1,027,956.01",2.79560136795044,17877.7771378827,1,22,-0.56,-2,6
2022-03-06,"1,002,037.61",-2.59184002876282,17444.650124674,0,22,-0.56,-2,6
2022-03-07,"1,017,000.81",1.49632000923157,17252.3728453824,0,23,-0.54,-2,6
2022-03-08,"1,019,138.41",0.213760003447533,17583.5750972112,0,21,-0.58,-2,6
2022-03-09,"1,050,668.01",3.15296006202698,19059.9063227306,0,22,-0.56,-2,6
2022-03-10,"994,021.61",-5.66463994979858,17904.8804587526,0,28,-0.44,-1,6
2022-03-11,"993,754.41",-0.0267200004309416,17589.6113492993,0,22,-0.56,-2,6
2022-03-12,"995,090.41",0.133599996566772,17623.5434513519,0,22,-0.56,-2,6
2022-03-13,"965,698.41",-2.93919992446899,17152.8427861008,0,21,-0.58,-2,6
2022-03-14,"997,762.41",3.20639991760254,18025.6388510076,0,23,-0.54,-2,6
2022-03-15,"993,220.01",-0.454239994287491,17835.8950745643,0,21,-0.58,-2,6
2022-03-16,"1,029,826.41",3.660640001297,18662.1825850039,0,24,-0.52,-2,6
2022-03-17,"1,046,927.21",1.71008002758026,18560.0750530834,0,27,-0.46,-1,6
